Team,Points
Norfolk State,54
Appalachian State,53
Wichita State,52
Drake,53
Michigan State,80
UCLA,86
Mount St. Mary's,52
Texas Southern,60
Gonzaga,98
Norfolk State,55
Oklahoma,72
Missouri,68
Creighton,63
UC Santa Barbara,62
Virginia,58
Ohio,62
USC,72
Drake,56
Kansas,93
Eastern Washington,84
Iowa,86
Grand Canyon,74
Michigan,82
Texas Southern,66
LSU,76
St. Bonaventure,61
Colorado,96
Georgetown,73
Florida State,64
UNC Greensboro,54
BYU,62
UCLA,73
Texas,52
Abilene Christian,53
UConn,54
Maryland,63
Alabama,68
Iona,55
Baylor,79
Hartford,55
North Carolina,62
Wisconsin,85
Villanova,73
Winthrop,63
Purdue,69
North Texas,78
Texas Tech,65
Utah State,53
Arkansas,85
Colgate,68
Florida,75
Virginia Tech,70
Ohio State,72
Oral Roberts,75
Illinois,78
Drexel,49
Loyola-Chicago,71
Georgia Tech,60
Tennessee,56
Oregon State,70
Oklahoma State,69
Liberty,60
San Diego State,62
Syracuse,78
West Virginia,84
Morehead State,67
Clemson,56
Rutgers,60
Houston,87
Cleveland State,56
Gonzaga,87
Oklahoma,71
Creighton,72
Ohio,58
USC,85
Kansas,51
Oregon,95
Iowa,80
Michigan,86
LSU,78
Colorado,53
Florida State,71
UCLA,67
Abilene Christian,47
Maryland,77
Alabama,96
Baylor,76
Wisconsin,63
Villanova,84
North Texas,61
Texas Tech,66
Arkansas,68
Florida,78
Oral Roberts,81
Illinois,58
Loyola-Chicago,71
Oregon State,80
Oklahoma State,70
Syracuse,75
West Virginia,72
Rutgers,60
Houston,63
Gonzaga,83
Creighton,65
USC,82
Oregon,68
Michigan,76
Florida State,58
UCLA,88
Alabama,78
Baylor,62
Villanova,51
Arkansas,72
Oral Roberts,70
Loyola-Chicago,58
Oregon State,65
Syracuse,46
Houston,62
Gonzaga,85
USC,66
Michigan,49
UCLA,51
Baylor,81
Arkansas,72
Oregon State,61
Houston,67
Gonzaga,93
UCLA,90
Baylor,78
Houston,59
Gonzaga,70
Baylor,86
